deviceName,node,productId,uptime,match
sec-sin-losmochis-22,node0_RP1_CPU0,4X100GE-LO,2:9:0:1,NA
sec-sin-losmochis-22,node0_RP0_CPU0,4X100GE-LO,2:9:0:1,NA
sec-sin-losmochis-22,node0_1_CPU0,4X100GE-LO,2:9:0:1,NA
sec-sin-losmochis-22,node0_0_CPU0,4X100GE-LO,2:9:0:1,NA
sec-oax-belisario-12,node0_SM1_SP,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_SM0_SP,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_SM2_SP,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_SM3_SP,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_4_CPU0,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_2_CPU0,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_0_CPU0,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_RP1_CPU0,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-oax-belisario-12,node0_3_CPU0,4X100GE-LO,2:8:4:1,No_Imp_Abril: CRS-LSP400G
sec-hgo-revolucionp-23,node0_SM0_SP,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_SM1_SP,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_SM3_SP,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_SM2_SP,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_7_CPU0,CRS1-SIP-800,2:8:3:3,NA
