deviceName,node,productId,uptime,Impact,match
sec-sin-losmochis-22,node0_1_CPU0,4X100GE-LO,2y:9w,NA,NA
sec-sin-losmochis-22,node0_0_CPU0,4X100GE-LO,2y:9w,NA,NA
sec-oax-belisario-12,node0_SM1_SP,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_SM0_SP,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_SM2_SP,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_SM3_SP,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_4_CPU0,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_2_CPU0,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_0_CPU0,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_RP1_CPU0,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-oax-belisario-12,node0_3_CPU0,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec-hgo-revolucionp-23,node0_SM0_SP,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_SM1_SP,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_SM3_SP,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_SM2_SP,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_7_CPU0,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_4_CPU0,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_3_CPU0,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_RP1_CPU0,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_RP0_CPU0,CRS1-SIP-800,2y:8w,NA,NA
sec-hgo-revolucionp-23,node0_0_CPU0,CRS1-SIP-800,2y:8w,NA,NA
sec-tab-paseo-29,node0_RP1_CPU0,4X100GE-LO,2y:8w,NA,NA
vpn-mex-ctsj-77,node0_6_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_5_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_4_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_3_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_2_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_1_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_0_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_RSP0_CPU0,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn-mex-vallejo-78,node0_5_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_4_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_3_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_2_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_1_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_0_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_RSP1_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
vpn-mex-vallejo-78,node0_RSP0_CPU0,SFP-10G-LR-S,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_SM3_SP,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_SM0_SP,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_SM1_SP,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_7_CPU0,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_0_CPU0,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_RP1_CPU0,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_RP0_CPU0,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_5_CPU0,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-bcs-snjosecabo-19,node0_2_CPU0,14X10GBE-WL-XFP,2y:8w,NA,NA
sec-son-obregon-24,node0_SM3_SP,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_SM2_SP,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_SM0_SP,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_SM1_SP,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_4_CPU0,14X10GBE-WL-XFP,2y:7w,NA,NA
