deviceName,productId,uptime,Impact,match
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NO,Febrero: CRS-FP140
sec,CPAK-100G-LR4,2y:9w,NO,Febrero: CRS-FP140
sec,CPAK-100G-LR4,2y:9w,NO,Febrero: CRS-FP140
sec,CPAK-100G-LR4,2y:9w,NO,Febrero: CRS-FP140
sec,CPAK-100G-LR4,2y:9w,NO,Febrero: CRS-FP140
sec,CPAK-100G-LR4,2y:9w,NO,Febrero: CRS-FP140
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,4X100GE-LO,2y:8w,NO,Abril: CRS-LSP400G
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,CRS1-SIP-800,2y:8w,NA,NA
sec,4X100GE-LO,2y:8w,NA,NA
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,A9K-RSP880-SE,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
vpn,SFP-10G-LR-S,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:8w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
sec,14X10GBE-WL-XFP,2y:7w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
vpn,SFP-10G-LR-S,2y:6w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
sec,4X100GE-LO,2y:5w,NA,NA
vpn,A9K-RSP440-SE,2y:5w,NA,NA
vpn,A9K-RSP440-SE,2y:5w,NA,NA
vpn,A9K-RSP440-SE,2y:5w,NA,NA
vpn,A9K-RSP440-SE,2y:5w,NA,NA
vpn,A9K-RSP440-SE,2y:5w,NA,NA
vpn,A9K-RSP440-SE,2y:5w,NA,NA
sec,CPAK-100G-LR4,2y:4w,NA,NA
vpn,SFP-10G-LR-S,2y:4w,NA,NA
sec,14X10GBE-WL-XFP,2y:4w,NA,NA
sec,14X10GBE-WL-XFP,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,4X100GE-LO,2y:4w,NA,NA
sec,14X10GBE-WL-XFP,2y:3w,NA,NA
sec,4X100GE-LO,2y:2w,NA,NA
sec,1X100GBE,2y:2w,NO,Marzo: CRS-FP140
sec,14X10GBE-WL-XFP,2y:2w,NA,NA
reg,14X10GBE-WL-XFP,2y:2w,NA,NA
vpn,SFP-10G-LR-S,2y:2w,NA,NA
reg,4X100GE-LO,2y:1w,NA,NA
sec,14X10GBE-WL-XFP,2y:1w,NA,NA
sec,4X100GE-LO,2y:1w,NA,NA
sec,CRS-8-PRP-12G,2y:1w,NA,NA
sec,CRS-8-PRP-12G,2y:1w,NA,NA
sec,CRS-8-PRP-12G,2y:1w,NA,NA
sec,CRS-8-PRP-12G,2y:1w,NA,NA
vpn,SFP-10G-LR-S,2y:1w,NA,NA
sec,CPAK-100G-LR4,2y:1w,NA,NA
vpn,SFP-10G-LR,2y:0w,NA,NA
vpn,SFP-10G-LR,2y:0w,NA,NA
vpn,SFP-10G-LR,2y:0w,NA,NA
vpn,SFP-10G-LR,2y:0w,NA,NA
vpn,SFP-10G-LR,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
bup,4X100GE-LO,2y:0w,NA,NA
sec,CRS-8-PRP-12G,2y:0w,NA,NA
sec,CPAK-100G-LR4,2y:0w,NA,NA
sec,14X10GBE-WL-XFP,2y:0w,NA,NA
sec,14X10GBE-WL-XFP,2y:0w,NA,NA
sec,14X10GBE-WL-XFP,1y:9w,NA,NA
vpn,SFP-10G-LR-S,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NA,NA
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
sec,4X100GE-LO,1y:9w,NO,Agosto: CRS-LSP400G
vpn,A9K-RSP440-SE,1y:9w,NA,NA
vpn,A9K-RSP440-SE,1y:9w,NA,NA
vpn,A9K-RSP440-SE,1y:9w,NA,NA
vpn,A9K-RSP440-SE,1y:9w,NA,NA
vpn,A9K-RSP440-SE,1y:9w,NA,NA
vpn,A9K-RSP440-SE,1y:9w,NA,NA
sec,CRS1-SIP-800,1y:9w,NA,NA
sec,14X10GBE-WL-XFP,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:9w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
sec,4X100GE-LO,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
inet,A9K-RSP440-SE,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
bb,CPAK-100G-LR4,1y:8w,NA,NA
